"CONTINENTE","ANIO","ENTRADAS","ID"
"AMÉRICA",2011,1006511,1
"EUROPA",2011,121757,2
"ASIA",2011,10041,3
"ÁFRICA",2011,715,4
"OCEANÍA",2011,1933,5
"SIN ESPECIFICAR",2011,80,6
"AMÉRICA",2012,1118323,7
"EUROPA",2012,136596,8
"ASIA",2012,12438,9
"ÁFRICA",2012,656,10
"OCEANÍA",2012,3228,11
"SIN ESPECIFICAR",2012,660,12
"AMÉRICA",2013,1208253,13
"EUROPA",2013,137902,14
"ASIA",2013,11052,15
"ÁFRICA",2013,1656,16
"OCEANÍA",2013,2842,17
"SIN ESPECIFICAR",2013,2352,18
"AMÉRICA",2014,1386983,19
"EUROPA",2014,144016,20
"ASIA",2014,16237,21
"ÁFRICA",2014,2228,22
"OCEANÍA",2014,3481,23
"SIN ESPECIFICAR",2014,4046,24
"AMÉRICA",2015,1358064,25
"EUROPA",2015,149898,26
"ASIA",2015,22667,27
"ÁFRICA",2015,4181,28
"OCEANÍA",2015,4508,29
"SIN ESPECIFICAR",2015,5145,30
