"RUTA","ENTRADAS","ID"
"Quito - Machachi",744,1
"Quito - Boliche",1969,2
"Tren de Los Volcanes",19481,3
"Ambato - Urbina",4821,4
"Tren Ruta del Chagra",2602,5
"Duran - Bucay",1595,6
"1.2 Tren - Ruta para Estudiantes",1431,7
"Costa - Sierra",131,8
"Tren de La Libertad (Ibarra - Salinas)",14081,9
"Tren de La Libertad (Otavalo - Salinas)",5564,10
"Tren de Los Lagos (Ibarra - Otavalo)",59,11
"Alausi - Sibambe",66024,12
"Riobamba - Colta",3397,13
"Riobamba - Urbina",4372,14
"Tambo - Coyoctor",175,15
