"PROVINCIAS","ANIO","RECAUDACION","NEGOCIO","ID"
"Azuay",2011,1425602,"HOTELES",1
"Bolivar",2011,30812,"HOTELES",2
"Carchi",2011,94301,"HOTELES",3
"Cañar",2011,81005,"HOTELES",4
"Chimborazo",2011,292242,"HOTELES",5
"Cotopaxi",2011,252094,"HOTELES",6
"El Oro",2011,572492,"HOTELES",7
"Esmeraldas",2011,360018,"HOTELES",8
"Galápagos",2011,442349,"HOTELES",9
"Guayas",2011,10231872,"HOTELES",10
"Imbabura",2011,663032,"HOTELES",11
"Loja",2011,372211,"HOTELES",12
"Los Ríos",2011,114377,"HOTELES",13
"Manabí",2011,1022581,"HOTELES",14
"Morona Santiago",2011,39363,"HOTELES",15
"Napo",2011,85362,"HOTELES",16
"Orellana",2011,125194,"HOTELES",17
"Pastaza",2011,67707,"HOTELES",18
"Pichincha",2011,10942265,"HOTELES",19
"Santa Elena",2011,708245,"HOTELES",20
"Sto Domingo de los Tsáchilas",2011,208626,"HOTELES",21
"Sucumbíos",2011,396693,"HOTELES",22
"Tungurahua",2011,82953,"HOTELES",23
"Zamora Chinchipe",2011,65438,"HOTELES",24
"Azuay",2012,1613635,"HOTELES",25
"Bolivar",2012,36551,"HOTELES",26
"Carchi",2012,14488,"HOTELES",27
"Cañar",2012,49621,"HOTELES",28
"Chimborazo",2012,354441,"HOTELES",29
"Cotopaxi",2012,27176,"HOTELES",30
"El Oro",2012,845873,"HOTELES",31
"Esmeraldas",2012,423225,"HOTELES",32
"Galápagos",2012,536686,"HOTELES",33
"Guayas",2012,12179955,"HOTELES",34
"Imbabura",2012,745114,"HOTELES",35
"Loja",2012,43637,"HOTELES",36
"Los Ríos",2012,171474,"HOTELES",37
"Manabí",2012,1176711,"HOTELES",38
"Morona Santiago",2012,42995,"HOTELES",39
"Napo",2012,120624,"HOTELES",40
"Orellana",2012,194332,"HOTELES",41
"Pastaza",2012,75986,"HOTELES",42
"Pichincha",2012,10879928,"HOTELES",43
"Santa Elena",2012,779236,"HOTELES",44
"Sto Domingo de los Tsáchilas",2012,222615,"HOTELES",45
"Sucumbíos",2012,259229,"HOTELES",46
"Tungurahua",2012,919412,"HOTELES",47
"Zamora Chinchipe",2012,7668,"HOTELES",48
"Azuay",2013,2025470,"HOTELES",49
"Bolivar",2013,53122,"HOTELES",50
"Carchi",2013,160127,"HOTELES",51
"Cañar",2013,52249,"HOTELES",52
"Chimborazo",2013,382221,"HOTELES",53
"Cotopaxi",2013,307791,"HOTELES",54
"El Oro",2013,876895,"HOTELES",55
"Esmeraldas",2013,509719,"HOTELES",56
"Galápagos",2013,666544,"HOTELES",57
