"MES","CIUDAD","ENTRADAS","ANIO","ID"
"Enero","QUITO",53.67,2014,1
"Febrero","QUITO",52.796,2014,2
"Marzo","QUITO",51.782,2014,3
"Abril","QUITO",50.495,2014,4
"Mayo","QUITO",52.61,2014,5
"Junio","QUITO",63.525,2014,6
"Julio","QUITO",69.222,2014,7
"Agosto","QUITO",59.586,2014,8
"Septiembre","QUITO",56.808,2014,9
"Octubre","QUITO",59.772,2014,10
"Noviembre","QUITO",62.978,2014,11
"Diciembre","QUITO",72.076,2014,12
"Enero","GUAYAQUIL",30.577,2014,13
"Febrero","GUAYAQUIL",29.079,2014,14
"Marzo","GUAYAQUIL",29.426,2014,15
"Abril","GUAYAQUIL",25.557,2014,16
"Mayo","GUAYAQUIL",26.418,2014,17
"Junio","GUAYAQUIL",29.112,2014,18
"Julio","GUAYAQUIL",37.282,2014,19
"Agosto","GUAYAQUIL",31.385,2014,20
"Septiembre","GUAYAQUIL",23.737,2014,21
"Octubre","GUAYAQUIL",24.102,2014,22
"Noviembre","GUAYAQUIL",27.062,2014,23
"Diciembre","GUAYAQUIL",31.824,2014,24
"Enero","TULCAN",39.657,2014,25
"Febrero","TULCAN",16.816,2014,26
"Marzo","TULCAN",14.08,2014,27
"Abril","TULCAN",23.355,2014,28
"Mayo","TULCAN",13.271,2014,29
"Junio","TULCAN",19.014,2014,30
"Julio","TULCAN",24.512,2014,31
"Agosto","TULCAN",18.241,2014,32
"Septiembre","TULCAN",13.036,2014,33
"Octubre","TULCAN",16.479,2014,34
"Noviembre","TULCAN",14.633,2014,35
"Diciembre","TULCAN",26.362,2014,36
"Enero","HUAQUILLAS",19.509,2014,37
"Febrero","HUAQUILLAS",20.117,2014,38
"Marzo","HUAQUILLAS",11.76,2014,39
"Abril","HUAQUILLAS",11.545,2014,40
"Mayo","HUAQUILLAS",11.957,2014,41
"Junio","HUAQUILLAS",12.19,2014,42
"Julio","HUAQUILLAS",16.833,2014,43
"Agosto","HUAQUILLAS",16.07,2014,44
"Septiembre","HUAQUILLAS",11.947,2014,45
"Octubre","HUAQUILLAS",16.27,2014,46
"Noviembre","HUAQUILLAS",14.862,2014,47
"Diciembre","HUAQUILLAS",16.96,2014,48
"Enero","OTRAS",9.16,2014,49
"Febrero","OTRAS",5.776,2014,50
"Marzo","OTRAS",6.958,2014,51
"Abril","OTRAS",7.662,2014,52
"Mayo","OTRAS",6.918,2014,53
"Junio","OTRAS",5.215,2014,54
"Julio","OTRAS",6.393,2014,55
"Agosto","OTRAS",6.409,2014,56
"Septiembre","OTRAS",7.234,2014,57
"Octubre","OTRAS",7.831,2014,58
"Noviembre","OTRAS",8.025,2014,59
"Diciembre","OTRAS",9.053,2014,60
"Enero","QUITO",60.632,2015,61
"Febrero","QUITO",52.24,2015,62
"Marzo","QUITO",59.344,2015,63
"Abril","QUITO",54.393,2015,64
"Mayo","QUITO",56.771,2015,65
"Junio","QUITO",63.585,2015,66
"Julio","QUITO",69.686,2015,67
"Agosto","QUITO",54.379,2015,68
"Septiembre","QUITO",51.958,2015,69
"Octubre","QUITO",56.355,2015,70
"Noviembre","QUITO",60.595,2015,71
"Diciembre","QUITO",61.652,2015,72
"Enero","GUAYAQUIL",29.58,2015,73
"Febrero","GUAYAQUIL",26.601,2015,74
"Marzo","GUAYAQUIL",27.189,2015,75
"Abril","GUAYAQUIL",22.339,2015,76
"Mayo","GUAYAQUIL",23.225,2015,77
"Junio","GUAYAQUIL",29.184,2015,78
"Julio","GUAYAQUIL",31.945,2015,79
"Agosto","GUAYAQUIL",28.021,2015,80
"Septiembre","GUAYAQUIL",24.782,2015,81
"Octubre","GUAYAQUIL",23.735,2015,82
"Noviembre","GUAYAQUIL",25.731,2015,83
"Diciembre","GUAYAQUIL",30.936,2015,84
"Enero","TULCAN",44.264,2015,85
"Febrero","TULCAN",15.456,2015,86
"Marzo","TULCAN",20.128,2015,87
"Abril","TULCAN",15.723,2015,88
"Mayo","TULCAN",14.498,2015,89
"Junio","TULCAN",20.868,2015,90
"Julio","TULCAN",25.489,2015,91
"Agosto","TULCAN",17.529,2015,92
"Septiembre","TULCAN",13.456,2015,93
"Octubre","TULCAN",13.65,2015,94
"Noviembre","TULCAN",14.283,2015,95
"Diciembre","TULCAN",20.844,2015,96
"Enero","HUAQUILLAS",22.609,2015,97
"Febrero","HUAQUILLAS",18.973,2015,98
"Marzo","HUAQUILLAS",12.685,2015,99
"Abril","HUAQUILLAS",12.158,2015,100
"Mayo","HUAQUILLAS",12.096,2015,101
"Junio","HUAQUILLAS",11.587,2015,102
"Julio","HUAQUILLAS",19.617,2015,103
"Agosto","HUAQUILLAS",20.439,2015,104
"Septiembre","HUAQUILLAS",11.519,2015,105
"Octubre","HUAQUILLAS",15.427,2015,106
"Noviembre","HUAQUILLAS",12.51,2015,107
"Diciembre","HUAQUILLAS",16.674,2015,108
"Enero","OTRAS",12.418,2015,109
"Febrero","OTRAS",6.469,2015,110
"Marzo","OTRAS",7.764,2015,111
"Abril","OTRAS",6.833,2015,112
"Mayo","OTRAS",5.79,2015,113
"Junio","OTRAS",6.825,2015,114
"Julio","OTRAS",7.855,2015,115
"Agosto","OTRAS",9.617,2015,116
"Septiembre","OTRAS",7.739,2015,117
"Octubre","OTRAS",8.36,2015,118
"Noviembre","OTRAS",8.517,2015,119
"Diciembre","OTRAS",8.936,2015,120
