"RUTA","MESES","ENTRADAS","ID"
"Quito - Guayaquil","ENERO",5911,1
"Guayaquil - Quito","ENERO",63761,2
"Quito-Guayaquil-Quito","ENERO",122871,3
"Quito - Cuenca","ENERO",1451,4
"Cuenca - Quito","ENERO",15256,5
"Quito-Cuenca-Quito","ENERO",29766,6
"Guayaquil - Cuenca","ENERO",2624,7
"Cuenca - Guayaquil","ENERO",2694,8
"Guayaquil-Cuenca-Guayaquil","ENERO",5318,9
"Quito - Loja","ENERO",4355,10
"Loja - Quito","ENERO",4786,11
"Quito-Loja-Quito","ENERO",9141,12
"Guayaquil - Loja","ENERO",1311,13
"Loja - Guayaquil","ENERO",1266,14
"Guayaquil-Loja-Guayaquil","ENERO",2577,15
"Quito - Baltra","ENERO",7971,16
"Baltra - Quito","ENERO",8987,17
"Quito-Baltra-Quito","ENERO",16958,18
"Guayaquil - Baltra","ENERO",8192,19
"Baltra - Guayaquil","ENERO",9292,20
"Guayaquil-Baltra-Guayaquil","ENERO",17484,21
"Quito - San Cristobal","ENERO",2473,22
"San Cristobal - Quito","ENERO",2642,23
"Quito-San Cristobal-Quito","ENERO",5115,24
"Guayaquil - San Cristobal","ENERO",365,25
"San Cristobal - Guayaquil","ENERO",3506,26
"Guayaquil-San Cristóbal-Guayaquil","ENERO",7156,27
"Quito - Coca","ENERO",9335,28
"Coca - Quito","ENERO",9076,29
"Quito-Coca-Quito","ENERO",18411,30
"Quito - Lago Agrio","ENERO",341,31
"Lago Agrio - Quito","ENERO",3547,32
"Quito-Lago Agrio - Quito","ENERO",6957,33
"Quito - Macas","ENERO",200,34
"Macas - Quito","ENERO",213,35
"Quito-Macas-Quito","ENERO",413,36
"Macas - Tena","ENERO",129,37
"Macas - Tena","ENERO",129,38
"Quito - Manta","ENERO",7949,39
"Manta - Quito","ENERO",932,40
"Quito - Manta - Quito","ENERO",17269,41
"Guayaquil - Latacunga","ENERO",578,42
"Latacunga - Guayaquil","ENERO",397,43
"Guayaquil - Latacunga - Guayaquil","ENERO",975,44
"Latacunga - Coca","ENERO",773,45
"Coca Latacunga","ENERO",699,46
"Latacunga - Coca - Latacunga","ENERO",1472,47
"Quito - Tena","ENERO",42,48
"Tena - Quito","ENERO",52,49
"Quito - Tena - Quito","ENERO",94,50
"Quito - Salinas","ENERO",445,51
"Salinas - Quito","ENERO",429,52
"Quito - Salinas - Quito","ENERO",874,53
"Quito - Esmeraldas","ENERO",2861,54
"Esmeraldas - Quito","ENERO",338,55
"Quito - Esmeraldas - Quito","ENERO",6241,56
"Guayaquil - Esmeraldas","ENERO",1088,57
"Esmeraldas - Guayaquil","ENERO",1092,58
"Guayaquil - Esmeraldas - Guayaquil","ENERO",218,59
"Quito - Santa Rosa","ENERO",3665,60
"Santa Rosa - Quito","ENERO",3714,61
"Quito - Santa Rosa - Quito","ENERO",7379,62
"Quito - Guayaquil","FEBRERO",5857,63
"Guayaquil - Quito","FEBRERO",58249,64
"Quito-Guayaquil-Quito","FEBRERO",116819,65
"Quito - Cuenca","FEBRERO",1468,66
"Cuenca - Quito","FEBRERO",14432,67
"Quito-Cuenca-Quito","FEBRERO",29112,68
"Guayaquil - Cuenca","FEBRERO",2497,69
"Cuenca - Guayaquil","FEBRERO",2523,70
"Guayaquil-Cuenca-Guayaquil","FEBRERO",502,71
"Quito - Loja","FEBRERO",4381,72
"Loja - Quito","FEBRERO",4609,73
"Quito-Loja-Quito","FEBRERO",899,74
"Guayaquil - Loja","FEBRERO",1287,75
"Loja - Guayaquil","FEBRERO",1295,76
"Guayaquil-Loja-Guayaquil","FEBRERO",2582,77
"Quito - Baltra","FEBRERO",8481,78
"Baltra - Quito","FEBRERO",8396,79
"Quito-Baltra-Quito","FEBRERO",16877,80
"Guayaquil - Baltra","FEBRERO",7874,81
"Baltra - Guayaquil","FEBRERO",8229,82
"Guayaquil-Baltra-Guayaquil","FEBRERO",16103,83
"Quito - San Cristobal","FEBRERO",2888,84
"San Cristobal - Quito","FEBRERO",227,85
"Quito-San Cristobal-Quito","FEBRERO",5158,86
"Guayaquil - San Cristobal","FEBRERO",3273,87
"San Cristobal - Guayaquil","FEBRERO",3312,88
"Guayaquil-San Cristóbal-Guayaquil","FEBRERO",6585,89
"Quito - Coca","FEBRERO",8465,90
"Coca - Quito","FEBRERO",8488,91
"Quito-Coca-Quito","FEBRERO",16953,92
"Quito - Lago Agrio","FEBRERO",3125,93
"Lago Agrio - Quito","FEBRERO",3488,94
"Quito-Lago Agrio - Quito","FEBRERO",6613,95
"Quito - Macas","FEBRERO",177,96
"Macas - Quito","FEBRERO",211,97
"Quito-Macas-Quito","FEBRERO",388,98
"Macas - Tena","FEBRERO",119,99
"Macas - Tena","FEBRERO",119,100
"Quito - Manta","FEBRERO",8464,101
